Well,Field,Cell_Number,Top,Left,XCentroid,YCentroid,ObjectAreaCh1,ObjectTotalIntenCh1,ObjectAvgIntenCh1,ObjectVarIntenCh1,SpotCountCh2,SpotTotalAreaCh2,SpotAvgAreaCh2,SpotTotalIntenCh2,SpotAvgIntenCh2,TotalIntenCh2,AvgIntenCh2
B2,6,6,584,961,1024.21893,663.2012356,16672,35219098,2112.46989,810.2438266,2,27,13.5,12268,454.3703704,405092,24.29774472
B2,6,7,633,646,767.7200372,714.2209838,27993,55057463,1966.829672,1442.590572,0,0,0,0,0,690314,24.66023649
B2,6,8,738,446,520.8971441,839.1039059,23810,53501817,2247.031373,1038.516997,14,309,22.07142857,328425,1062.864078,1539760,64.66862663
B2,6,9,804,757,829.5540849,854.5130078,8764,14998636,1711.391602,658.9436331,0,0,0,0,0,96557,11.01745778
B2,6,10,833,680,752.2757432,902.9577076,13052,31737521,2431.621284,1580.395377,1,9,9,3561,395.6666667,367018,28.11967515
B2,6,11,901,841,916.5234514,966.5820339,16353,24190665,1479.279949,495.2240769,0,0,0,0,0,104875,6.413196355
B2,7,1,58,266,324.6740769,116.0264695,10616,26065124,2455.267898,1316.663262,0,0,0,0,0,394264,37.13865863
B2,7,2,140,805,906.1008294,244.0831789,32917,50285267,1527.638211,754.3501489,0,0,0,0,0,442143,13.43205638
B2,7,3,172,530,620.5947259,248.0810548,21615,50117202,2318.630673,1015.425616,20,515,25.75,1148493,2230.083495,3526382,163.1451307
B2,7,4,313,380,463.323844,392.3938517,19355,44365617,2292.204443,1112.571285,9,173,19.22222222,165537,956.8612717,880114,45.47217773
B2,7,5,425,150,245.3343547,548.1340215,33614,61645439,1833.921551,757.8347906,39,1212,31.07692308,1943536,1603.577558,4930049,146.6665378
B2,7,6,778,833,924.1343813,857.2579215,20293,47145585,2323.243729,1303.538398,2,28,14,9662,345.0714286,417207,20.55915833
B2,7,7,897,95,189.0669321,983.1534934,24861,60525359,2434.550461,1327.633223,0,0,0,0,0,498071,20.03423032
B2,7,8,907,952,1013.940412,967.4464989,10925,31580480,2890.661785,1737.7023,9,324,36,929732,2869.54321,1976991,180.9602746
B2,8,1,27,323,403.2863427,143.1853629,25005,48352095,1933.697061,757.6597245,0,0,0,0,0,372108,14.88134373
B2,8,2,315,456,520.6400056,385.4697097,14328,46530038,3247.490089,1818.402926,0,0,0,0,0,514363,35.89914852
B2,8,3,663,614,708.5369175,732.7326534,18433,48984472,2657.433516,1377.972666,2,20,10,7651,382.55,650447,35.2870938
B2,8,4,706,491,545.8072869,792.4060134,14135,33257414,2352.841457,1133.657233,17,502,29.52941176,991064,1974.231076,3542368,250.6096923
B2,8,5,724,287,351.9291378,789.6530511,14126,40833563,2890.667068,1752.338014,11,264,24,412162,1561.219697,1633946,115.6694039
B2,9,1,29,410,495.7494763,80.0845554,17184,30628211,1782.367959,815.8883632,0,0,0,0,0,190676,11.09613594
B2,9,2,84,853,929.5916459,174.0218753,21714,44190620,2035.12112,842.8746357,8,195,24.375,400565,2054.179487,1609462,74.1209358
B2,9,3,109,69,141.5720412,186.047227,17490,51023052,2917.269983,1562.067276,0,0,0,0,0,492478,28.15769011
B2,9,4,208,732,807.2325722,285.8887913,18218,46522094,2553.633439,1215.543197,0,0,0,0,0,453248,24.87913053
B2,9,5,607,584,699.0356453,726.9206847,43989,83189598,1891.145468,1418.399402,0,0,0,0,0,614338,13.9657187
B2,9,6,621,265,332.1726133,682.8240919,12444,36343338,2920.551109,1499.009757,2,55,27.5,70236,1277.018182,693481,55.72814208
B2,9,7,754,455,547.3983388,844.9319781,22875,44930521,1964.175781,736.4251589,16,429,26.8125,811784,1892.270396,2650998,115.890623
B2,9,8,904,341,427.7769293,979.0931073,19644,49036191,2496.24267,1284.564037,0,0,0,0,0,409097,20.8255447
B2,10,1,50,151,259.5974645,155.1612705,35890,67525785,1881.465171,822.8152235,0,0,0,0,0,555184,15.4690443
B2,10,2,284,339,416.3087173,343.7385482,15085,43591886,2889.750481,1704.707653,0,0,0,0,0,558480,37.02220749
B2,10,3,367,689,786.6036122,444.1404609,24085,43860895,1821.087606,831.5558628,0,0,0,0,0,624085,25.91177081
B2,10,4,599,667,764.1245362,682.4718301,23447,48955219,2087.909711,839.7092569,2,44,22,53267,1210.613636,694066,29.6014842
B2,10,5,769,334,419.5029098,852.2550019,23541,56212329,2387.847967,1264.962043,9,166,18.44444444,143708,865.7108434,903997,38.40096003
B2,10,6,780,881,968.4754811,862.9983209,23227,54123152,2330.182632,1099.809293,45,871,19.35555556,1756805,2016.997704,5894531,253.7792655
B2,10,7,811,52,168.5598425,912.0674877,23871,55717745,2334.118596,1125.916695,2,28,14,12458,444.9285714,507160,21.24586318
B2,11,1,81,249,340.040484,174.5869022,26035,58074731,2230.640714,967.6087649,21,799,38.04761905,1565337,1959.12015,5879019,225.8121375
B2,11,2,284,40,119.9424571,359.4005739,20211,48031872,2376.5213,1351.352553,0,0,0,0,0,402992,19.93924101
B2,11,3,417,142,245.0046154,530.3598773,31633,69086793,2184.010148,1099.750505,26,515,19.80769231,799279,1551.998058,3646640,115.2796131
B2,11,4,452,500,591.8771416,534.6125996,24223,59175936,2442.964786,1495.617954,0,0,0,0,0,504272,20.81790034
B2,11,5,897,112,172.6222886,964.3427381,12724,36851040,2896.18359,1802.275873,11,375,34.09090909,792801,2114.136,2439378,191.7147124
B2,12,1,191,753,820.6112358,275.5359771,16038,31360785,1955.404976,948.3521092,27,865,32.03703704,3428029,3963.039306,9230153,575.5177079
B2,12,2,244,596,680.9783488,342.618463,21015,46621088,2218.46719,1191.044166,1,17,17,6629,389.9411765,389522,18.53542708
B2,12,3,418,912,997.3056574,528.5303357,27822,52410930,1883.794479,930.3814624,0,0,0,0,0,428276,15.39342966
B2,12,4,462,383,499.677301,556.4383094,23164,50193306,2166.866949,966.462295,3,49,16.33333333,39310,802.244898,584147,25.21788119
B2,12,5,489,686,754.5766536,562.7414556,16268,38251275,2351.320076,1231.921817,3,43,14.33333333,20195,469.6511628,473688,29.11777723
B2,12,6,515,199,269.3401744,575.7202961,13643,35065500,2570.21916,1313.418552,0,0,0,0,0,363069,26.61210877
B2,12,7,665,546,641.3517807,780.0013111,32796,89140395,2718.026436,1400.170191,0,0,0,0,0,863828,26.33943164
B2,12,8,809,164,222.538812,871.8147387,11195,36109760,3225.525681,1907.994349,7,175,25,288918,1650.96,1357282,121.2400179
B2,13,1,66,123,195.9721709,138.2485549,16781,34767445,2071.833919,866.5242436,0,0,0,0,0,339778,20.24778023
B2,13,2,100,369,454.3345944,180.2112824,20882,46338297,2219.054545,1124.374741,2,24,12,13592,566.3333333,664347,31.81433771
B2,13,3,174,886,954.8845798,248.8932117,16219,45812625,2824.626981,1764.898488,0,0,0,0,0,517233,31.89056045
B2,13,4,398,788,855.8823937,473.4060767,17312,42219969,2438.769004,1461.137577,1,20,20,10079,503.95,503279,29.07110675
B2,13,5,479,173,246.9619171,547.3126295,15440,42217761,2734.310946,1665.91715,0,0,0,0,0,459007,29.72843264
B2,13,6,764,102,254.7361296,852.0285669,31470,76606886,2434.283,1267.151948,2,27,13.5,14253,527.8888889,675373,21.4608516
B2,13,7,865,507,590.2035398,959.0381244,23843,60405628,2533.474311,1217.530237,2,25,12.5,7420,296.8,510401,21.40674412
B2,13,8,900,882,968.1204802,980.1614988,20576,41121975,1998.540776,895.5350582,9,132,14.66666667,109288,827.9393939,1094591,53.19746306
B2,14,1,93,107,178.3859543,160.3302415,16603,48473269,2919.548816,1652.519686,0,0,0,0,0,501347,30.19616937
B2,14,2,97,518,584.2984296,175.0958165,16302,44555923,2733.156852,1790.561678,21,600,28.57142857,837183,1395.305,3873638,237.6173476
B2,14,3,390,817,884.5703546,447.8277173,11307,27029089,2390.473954,1273.528043,2,44,22,39990,908.8636364,511697,45.25488635
B2,14,4,482,847,970.0196361,599.3230769,27755,74748509,2693.154711,1905.804917,2,28,14,18512,661.1428571,983065,35.41938389
B2,14,5,489,50,145.54144,587.4043774,23347,45199543,1935.989335,929.9180037,0,0,0,0,0,431564,18.4847732
B2,14,6,618,438,500.9879669,688.4850079,15208,54425878,3578.766307,3668.210069,0,0,0,0,0,696516,45.79931615
B2,14,7,755,232,321.3545455,844.6152569,25300,52273554,2066.148379,940.0613432,9,181,20.11111111,156680,865.6353591,1327383,52.46573123
B2,14,8,929,478,554.0142498,994.0898994,14316,32401239,2263.288558,1090.265471,0,0,0,0,0,320101,22.3596675
B2,15,1,107,911,1000.017631,188.9497545,23425,30076674,1283.956201,580.8713244,0,0,0,0,0,301598,12.87504803
B2,15,2,259,293,362.883928,324.9089631,14939,33513798,2243.376263,1096.892923,0,0,0,0,0,406256,27.19432358
B2,15,3,303,524,671.2295199,410.6798788,39282,71578307,1822.165547,939.9860468,0,0,0,0,0,645823,16.4406853
B2,15,4,549,25,106.3155396,622.2815827,13900,23348622,1679.756978,662.6063106,3,143,47.66666667,178009,1244.818182,979996,70.50330935
B2,15,5,632,712,803.5287655,748.9066077,26212,61320839,2339.418549,1773.987606,0,0,0,0,0,645036,24.60842362
B2,15,6,792,102,181.1401603,923.2542732,33055,75399673,2281.036848,1533.372244,11,411,37.36363636,2004007,4875.92944,4779178,144.5826047
B2,15,7,792,370,462.4565878,890.180728,30936,60660857,1960.850045,765.2268334,5,91,18.2,64269,706.2527473,834274,26.96773985
B2,16,1,71,35,177.7073198,230.5672646,44154,78955645,1788.18782,1026.686234,6,98,16.33333333,64579,658.9693878,1927773,43.66021199
B2,16,2,113,961,1018.588324,183.4114228,11871,15512819,1306.782832,401.0311356,2,26,13,15791,607.3461538,810236,68.25339062
B2,16,3,173,359,443.9900974,284.8916287,30497,37745217,1237.669836,375.8643151,0,0,0,0,0,362058,11.87192183
B2,16,4,272,768,850.748146,376.4689658,27373,55970021,2044.716363,959.760437,0,0,0,0,0,573429,20.94870858
B2,16,5,318,533,609.4110888,424.9100423,24367,43062256,1767.236673,739.6536769,1,26,26,18254,702.0769231,513873,21.08889071
B2,16,6,552,636,705.5422376,668.7928432,25179,37699294,1497.25144,622.1910959,1,16,16,6847,427.9375,372996,14.81377338
B2,16,7,575,760,889.9106647,715.7917186,45693,72503336,1586.749305,790.2324396,1,13,13,5316,408.9230769,860915,18.8412886
B2,16,8,577,454,516.6415035,643.0772905,12770,28060581,2197.383007,1231.908954,0,0,0,0,0,349735,27.38723571
B2,17,1,47,457,561.7092649,160.774732,26120,44377443,1698.98327,691.0950034,44,709,16.11363636,738991,1042.300423,4533603,173.5682619
B2,17,2,90,705,806.3743937,173.6211318,26595,37125032,1395.94029,451.8471051,18,704,39.11111111,2550685,3623.132102,7426631,279.2491446
B2,17,3,136,193,266.6790687,209.6256295,16879,31754071,1881.276794,653.4940818,0,0,0,0,0,241744,14.32217548
B2,17,4,168,939,1019.752392,247.6362711,19652,24034240,1222.992062,404.8695663,0,0,0,0,0,255573,13.00493588
B2,17,5,175,97,153.6179226,244.5753129,12063,23768749,1970.384564,815.4699185,9,182,20.22222222,346285,1902.664835,1802725,149.4425102
B2,17,6,311,540,653.1717006,396.9223162,24368,38159885,1565.983462,690.4778973,12,289,24.08333333,646571,2237.269896,3370247,138.3062623
B2,17,7,651,942,1004.219617,708.7580027,11215,22065165,1967.469015,990.9296349,6,352,58.66666667,1836178,5216.414773,4568013,407.3127954
B2,17,8,722,51,147.1195377,832.0369151,30367,45510344,1498.677643,618.1830803,0,0,0,0,0,433873,14.28764778
B2,17,9,731,377,504.160727,853.8418955,49189,78590553,1597.726179,610.6112477,0,0,0,0,0,623305,12.6716339
B2,17,10,796,747,826.0355664,863.8545274,17151,39589325,2308.280858,1293.145264,0,0,0,0,0,593145,34.58369774
B2,18,1,325,681,764.7751759,396.0067731,19046,55092134,2892.582905,1833.75175,0,0,0,0,0,633984,33.28698939
B2,18,2,426,310,388.5648258,510.0980801,21095,40126681,1902.189192,867.9436125,0,0,0,0,0,438359,20.78023228
B2,18,3,651,396,488.7161537,743.1882885,28297,55576335,1964.036294,1259.221584,18,346,19.22222222,301738,872.0751445,2028601,71.68961374
B2,18,4,696,779,888.4742666,784.0694081,30544,54664027,1789.681345,762.2806816,0,0,0,0,0,837459,27.41811812
B2,18,5,704,132,209.9744994,809.4725544,27764,70267296,2530.877971,2593.539996,0,0,0,0,0,743573,26.78191183
B2,18,6,953,905,983.3893591,1020.245264,14886,26746021,1796.723163,633.4143369,9,138,15.33333333,130976,949.1014493,674390,45.303641
B2,19,1,60,53,122.6263222,123.6895013,13897,35168301,2530.639778,1131.542931,21,481,22.9047619,660306,1372.777547,2118641,152.4531194
B2,19,2,368,245,315.5327422,461.23289,19623,48530776,2473.157825,1133.888078,12,309,25.75,386120,1249.579288,1925377,98.11838149
B2,19,3,570,111,181.5820836,636.5948905,15070,31939084,2119.381818,902.854865,0,0,0,0,0,325450,21.59588587
B2,19,4,663,687,754.4771242,732.6516534,15453,39780926,2574.317349,1386.205132,10,368,36.8,552498,1501.353261,1912732,123.7773895
B2,19,5,716,409,489.2294099,793.8191072,19354,55250809,2854.748837,1843.302508,1,22,22,14801,672.7727273,563024,29.09083394
B2,19,6,836,637,702.3823066,905.1794413,13960,40119669,2873.901791,1857.103553,0,0,0,0,0,395038,28.297851
B2,20,1,30,618,675.2174267,86.73401873,9824,26117683,2658.558937,1481.862585,0,0,0,0,0,330245,33.61614414
B2,20,2,121,753,835.522907,193.3468605,17200,34732322,2019.321047,799.6775678,4,74,18.5,93663,1265.716216,614643,35.73505814
B2,20,3,177,507,574.2170115,229.3807816,10875,26461427,2433.234667,1204.088163,8,176,22,304788,1731.75,1199773,110.323954
B2,20,4,240,914,1009.75104,334.1733375,22361,49366774,2207.717633,1108.686949,11,280,25.45454545,289998,1035.707143,1068567,47.78708466
B2,20,5,301,517,607.3561718,397.6062797,27804,48939311,1760.153611,849.554145,0,0,0,0,0,405935,14.59987772
B2,20,6,485,370,429.0991029,537.5102902,9475,28642021,3022.904591,2030.232236,15,387,25.8,756711,1955.325581,2420769,255.4901319
B2,20,7,491,636,722.1203971,558.9582133,18738,33885755,1808.397641,774.3002566,0,0,0,0,0,421218,22.47934678
B2,20,8,556,81,186.9639886,673.4481833,37266,57046977,1530.804943,1004.757503,0,0,0,0,0,568610,15.25814415
B2,20,9,726,622,695.5672316,824.9548876,20593,41800711,2029.850483,880.9438634,0,0,0,0,0,448399,21.7743408
B2,20,10,805,798,885.5973458,876.7531189,20119,44091137,2191.517322,1065.719944,6,89,14.83333333,50760,570.3370787,583427,28.9988071
B2,20,11,840,216,285.9874411,913.4123496,15288,24515139,1603.554356,559.4745923,11,497,45.18181818,837272,1684.651911,2370281,155.0419283
B2,20,12,861,57,130.4635241,939.0766228,17162,28780163,1676.970225,573.6147127,14,424,30.28571429,496120,1170.09434,1558446,90.80794779
B2,21,1,62,82,211.9949135,134.2750393,21626,36020588,1665.614908,597.8357398,0,0,0,0,0,347660,16.07601961
B2,21,2,266,418,502.9987843,345.3287197,21386,37033824,1731.685402,969.799449,0,0,0,0,0,218957,10.23833349
B2,21,3,290,763,853.2249709,379.2810061,24092,37526855,1557.647974,603.1130346,0,0,0,0,0,331634,13.76531629
B2,21,4,293,540,620.298417,408.3167704,24573,42648517,1735.584463,705.730373,9,323,35.88888889,604578,1871.758514,2657766,108.1579783
B2,21,5,419,141,240.6429726,501.0647781,24746,41513226,1677.573184,936.3501513,0,0,0,0,0,433409,17.51430534
B2,21,6,481,643,716.0178991,563.1472537,18716,44444057,2374.655749,1971.645829,0,0,0,0,0,487861,26.06652062
B2,21,7,663,299,396.2980213,746.952161,20569,26763277,1301.146239,384.9638052,3,91,30.33333333,97996,1076.879121,1186547,57.68617823
B2,21,8,744,525,613.6388361,831.8214185,24745,52288181,2113.080663,1500.638883,2,14,7,10032,716.5714286,1841096,74.40274803
B2,21,9,958,207,279.8487455,1011.967901,12555,28681343,2284.455834,1863.774292,0,0,0,0,0,298773,23.79713262
B2,22,1,58,841,921.7419866,149.0721205,22712,46796583,2060.434264,919.1998836,0,0,0,0,0,480737,21.16665199
B2,22,2,108,112,189.1153781,208.9666893,23566,50638575,2148.798057,900.1547856,8,137,17.125,76749,560.2116788,697173,29.58384961
B2,22,3,369,954,1024.543032,451.9987085,17034,35312678,2073.070213,858.949234,21,747,35.57142857,1499395,2007.222222,3368483,197.7505577
B2,22,4,426,412,485.1405808,498.3026214,15564,40812692,2622.24955,1174.082871,0,0,0,0,0,402298,25.84798252
B2,22,5,504,740,812.6357625,570.7945344,14820,30323652,2046.130364,750.1856518,15,490,32.66666667,1425132,2908.432653,3705739,250.049865
B2,22,6,570,5,82.34313426,636.6109315,16393,34745071,2119.506558,941.6620433,7,80,11.42857143,29213,365.1625,480749,29.32648081
B2,22,7,619,469,547.9462568,714.6663982,22347,51708098,2313.872019,980.7452481,2,22,11,8563,389.2272727,662316,29.63780373
B2,22,8,697,658,741.6293255,794.4219024,25084,49900117,1989.320563,775.2673555,1,9,9,2664,296,510711,20.3600303
B2,22,9,912,295,375.1639581,980.3707724,15937,31072568,1949.712493,795.6358788,3,56,18.66666667,75607,1350.125,554457,34.79055029
B2,23,1,139,604,682.6763396,219.7294742,19987,51172878,2560.3081,1464.86159,0,0,0,0,0,532629,26.6487717
B2,23,2,172,62,158.1340445,261.7978807,28028,62160877,2217.813508,1240.841824,0,0,0,0,0,579788,20.68602826
B2,23,3,380,321,414.2106018,455.2474473,23015,41130569,1787.120096,668.9706048,9,130,14.44444444,151023,1161.715385,2581151,112.1508147
B2,23,4,460,424,525.0418559,556.9509022,24441,61563731,2518.8712,2111.277089,2,281,140.5,769243,2737.519573,1607215,65.75897058
B2,23,5,506,20,91.04692407,577.7892727,16239,44443891,2736.861322,1559.234784,0,0,0,0,0,380928,23.45760207
B2,23,6,601,194,251.3707545,663.1179673,11571,23206133,2005.542563,975.5156164,5,140,28,145322,1038.014286,1134470,98.04424855
B2,23,7,812,488,580.479163,886.226814,22988,67992110,2957.721855,1616.895317,2,26,13,13181,506.9615385,1018280,44.29615452
B2,24,1,88,121,193.9277395,160.790554,15541,34100764,2194.245158,1045.549323,0,0,0,0,0,339683,21.8572164
B2,24,2,127,612,685.3861463,246.603964,24571,46952916,1910.907818,751.9959725,0,0,0,0,0,446288,18.16320052
B2,24,3,214,764,854.2347483,290.1244076,20047,54113056,2699.309423,1600.742763,16,520,32.5,1228651,2362.790385,4206597,209.8367337
B2,24,4,229,373,460.9273265,315.4791658,23351,49631889,2125.471671,1029.997664,0,0,0,0,0,416483,17.8357672
B2,24,5,453,486,585.7236908,542.8407801,27842,59462832,2135.724158,1252.990454,1,15,15,5521,368.0666667,603550,21.6776812
B2,24,6,559,110,207.9660181,634.6633435,18657,63230935,3389.126601,2068.626549,12,247,20.58333333,238974,967.5060729,1301778,69.77424023
B2,24,7,621,665,745.5977022,705.0427447,22108,57714073,2610.55152,1195.64858,16,287,17.9375,401480,1398.885017,2161749,97.78130089
B2,24,8,777,461,540.4000635,860.6494283,18892,48164833,2549.483009,1234.150251,5,147,29.4,155054,1054.789116,1137003,60.18436375
B2,25,1,3,610,693.3385974,108.5417263,20263,40403231,1993.941223,894.1441412,2,19,9.5,7547,397.2105263,387479,19.12248927
B2,25,2,246,801,900.9134095,333.676703,23282,41913406,1800.249377,1108.097527,0,0,0,0,0,415569,17.84936861
B2,26,1,77,567,648.3078989,150.4573261,18243,58292199,3195.318698,1796.353285,0,0,0,0,0,631519,34.6170586
B2,26,2,161,330,397.2559106,244.5678666,17807,46172461,2592.938788,1419.055369,0,0,0,0,0,545923,30.65777503
B2,26,3,256,980,1031.603818,381.6804737,20690,43095450,2082.912035,895.9696662,3,40,13.33333333,17175,429.375,436179,21.08163364
B2,26,4,449,713,780.0617523,526.2702518,17554,43220661,2462.154552,1166.580171,9,156,17.33333333,106522,682.8333333,836760,47.66776803
B2,26,5,641,452,502.1119514,694.9878502,8066,35399663,4388.750682,3266.920163,0,0,0,0,0,521506,64.65484751
B2,27,1,222,780,904.3435953,294.40888,19392,50330400,2595.420792,1793.412124,5,80,16,40382,504.775,752599,38.80976691
B2,27,2,310,286,380.4102632,400.4897821,26522,59024852,2225.505316,1154.656258,11,184,16.72727273,155971,847.6684783,1205662,45.45893975
B2,27,3,351,557,685.7257168,468.1683654,44053,77069179,1749.46494,922.586641,4,66,16.5,35090,531.6666667,782132,17.75434136
B2,27,4,501,153,260.3132437,588.9328739,29750,52642663,1769.501277,963.1792339,0,0,0,0,0,475076,15.96894118
B2,27,5,506,938,1015.975694,591.3675176,20448,41805436,2044.475548,1146.621088,11,153,13.90909091,152322,995.5686275,1059305,51.80482199
B2,27,6,645,541,636.0468762,727.9617986,25130,54762164,2179.154954,1163.851095,0,0,0,0,0,579532,23.06136092
B2,27,7,695,104,158.8583283,762.729968,11569,30285886,2617.848215,1416.094819,0,0,0,0,0,358802,31.01408938
B2,27,8,833,330,388.997214,895.0349121,11486,29677081,2583.761188,1577.055201,24,621,25.875,1767948,2846.937198,5655634,492.3936967
B2,27,9,840,104,209.9814623,945.6174662,32852,58566488,1782.737368,719.7183475,4,68,17,44257,650.8382353,399842,12.17100938
B2,27,10,861,557,654.1154745,976.975073,27400,58757233,2144.424562,1121.621576,5,173,34.6,342998,1982.647399,1583853,57.80485401
B2,28,1,131,831,927.6023826,228.7868852,29463,62872837,2133.959101,1264.887257,0,0,0,0,0,552766,18.76136171
B2,28,2,250,511,571.5333463,350.4623112,15429,28486807,1846.315834,867.3447319,0,0,0,0,0,251154,16.27804783
B2,28,3,417,780,875.9133582,513.6632799,28739,64646397,2249.430982,1092.186469,0,0,0,0,0,526285,18.31257177
B2,28,4,423,519,577.1926164,525.6119371,23674,52468702,2216.300667,928.9961813,0,0,0,0,0,489797,20.68923714
B2,28,5,783,911,997.6868814,866.908929,19095,47137398,2468.57282,1397.982801,9,452,50.22222222,1158474,2562.995575,3702832,193.9163132
B2,29,1,149,198,270.2323123,221.5662462,16650,39339409,2362.727267,1227.456137,37,895,24.18918919,1502305,1678.553073,4915970,295.2534535
B2,29,2,209,411,489.7609605,307.7315512,23904,45523339,1904.423486,867.2266454,0,0,0,0,0,465456,19.47188755
B2,29,3,259,727,795.3459989,333.1746333,13159,43808930,3329.199027,2297.303189,3,54,18,34199,633.3148148,703519,53.46295311
